"Transaction Hash","Timestamp","From","To","Transaction Type","Asset Contract Address","Asset Symbol / Name","Token ID","Amount","Gas Fee (ETH)"
"0x70d4761c00725087d5adaebbc4ed2e7b754d002eea782680e35caa7406f485ac","2024-03-19T21:40:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003405420929684521"
"0x16a68f45b10009c8220560964d2c1daed690be970d7e77022539eb3344011f8f","2024-03-19T21:40:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004068600238575872"
"0x803c9dfa4a450d9d2320e157c639aef52e77104b5130fdfb2d4083824e4bb38c","2024-03-19T21:40:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001510846238283834"
"0x7499146bc9af623c15e90baf21a6a84f6d19a42a1f2dd1bd8a6f6ded030a45ac","2024-03-19T21:46:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.0034066625084062"
"0x3384149ca52d4a710e2c6c84125912dc6da7eea666e60d3d3cd0da9f7104e30e","2024-03-19T21:49:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001276750767567516"
"0x3d92f26fc2170060cec7022c03847d4c8ae447bbccbe37699a87e4910c979085","2024-03-19T21:50:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003945112767083"
"0xe19531e713930c3344973ba42854496a8d3c6c07fbb29144c1b3abbfc7c6d77c","2024-03-19T21:53:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00369372102394757"
"0x62aab2b2f7c49b04d5c9ba4d4889fbeeed02551aa649233247f9a67540f70f10","2024-03-19T21:59:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00401414610496533"
"0xe40420bcff9d4f173cb8715845b602c77044c9ace6ce155866e526eceabc9aaa","2024-03-19T21:59:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001397076631384104"
"0xd8276d52e07c77536b8c3e9371de2c8a264f9e3c8c91372ba459336b22345a2a","2024-03-19T21:59:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004268237768875008"
